name,primary_category,subcategory,address,phone,website,rating,reviews_count,status,district,notes,source_url,source_type
Авто-Ювелир,Автосервис,Кузовной ремонт,"2-й проезд Льва Толстого, 41",+7 905 541-10-43,,4.4,34,active,,"Кузовной ремонт, покраска",https://yandex.com/maps/org/avto_yuvelir/179642483413/,Yandex Maps
Форвард,Автосервис,Автосервис,"Зелёная ул., 11с1",+7 926 150-86-06,,4.5,69,active,Крутое,"Есть предварительная запись, сварочные работы",https://yandex.com/maps/org/forvard/163641279123/,Yandex Maps
Автотехцентр-Сибирь,Автосервис,Диагностика/слесарные работы,"ул. Гагарина, 44 (АЗС Сибирь-Нефть)",+7 962 920-32-03,,,,active,,"Диагностика подвески, тормозной системы и рулевого управления",https://www.plan1.ru/orehovo-zuevo/avto/avtoservisyi/,Plan1
Сто-оз,Автосервис,Шиномонтаж/сход-развал,"Егорьевская ул., 7/1",+7 929 667-95-50,https://sto-oz.ru,4.7,,active,,Доп. телефоны: шиномонтаж +7 925 905-03-33; сход-развал +7 929 911-81-29,https://sto-oz.ru/avtoservis/,Own site
Автосервис 700,Автосервис,Кузовной ремонт,"ул. Ленина, 84",+7 969 063-73-73,,5.0,62,active,,Кузовной ремонт,https://yandex.ru/maps/org/avtoservis_700/92105777111/,Yandex Maps
Электрик авто,Автоэлектрика,Автоэлектрик,Северная ул.,+7 903 596-11-16,,,40,active,,Точный номер дома не виден в сниппете,https://yandex.ru/maps/org/elektrik_avto/147924690699/,Yandex Maps
E. G. Motors,Автоэлектрика,Ремонт автоэлектрики,"проезд Фабзавуча, 7",+7 925 908-35-33,,4.4,9,active,,Ремонт автоэлектрики,https://yandex.ru/maps/org/e_g_motors/39199345097/related/,Yandex Maps
Пин42,Автосервис,Автосервис,"ул. Урицкого, вл92",+7 991 239-91-10,,,68,active,,,https://yandex.ru/maps/org/pin42/26719414035/,Yandex Maps
СТО,Автосервис,Автосервис,"Северная ул., 38",+7 968 526-99-97,,,7,active,,,https://yandex.ru/maps/org/sto/76773273036/,Yandex Maps
У Лехи,Автосервис,Автосервис,"ул. Ленина, 97",+7 903 225-63-44,,,46,active,,,https://yandex.ru/maps/org/u_lekhi/1256851413/,Yandex Maps
Смит,Автосервис,Автосервис,"Егорьевская ул., 11",,,5.0,496,active,,Высокий рейтинг в Яндекс Картах,https://yandex.ru/maps/10745/orehovo-zuevo/search/%D0%A0%D0%B0%D0%B7%D0%B2%D0%B0%D0%BB-%D1%81%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5/,Yandex Maps search
Check Off,Автосервис,Автосервис,"ул. Стачки 1885 года, 5",,,4.9,332,active,,Хорошее место 2025,https://yandex.ru/maps/10745/orehovo-zuevo/category/car_service_auto_repair/184105246/,Yandex Maps category
Auto Life,Автосервис,Автосервис/автоэлектрика,"ул. Ленина, 78",,,4.7,250,active,,"В сниппете указано, что сервис переехал на Ленина, 78",https://yandex.ru/maps/org/auto_life/137732466063/,Yandex Maps
